Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
O15467,CCL16,C-C motif chemokine 16,1,3.564783,9.154398,-5.589615,0.0207662568237495,Down,4.13028944305931e-06,0.027297082929179
Q9BQE4,SELENOS,Selenoprotein S,1,11.6157195,3.479408,8.1363115,281.367424686622,Up,1.23999099569058e-05,0.0409755024525953
Q9H788,SH2D4A,SH2 domain-containing protein 4A,10,14.401155,14.207275,0.19388,1.14383582765739,Up,0.000100463893421002,0.17059238450106
P21796,VDAC1,Non-selective voltage-gated ion channel VDAC1,11,16.22914,16.704745,-0.475605,0.719165141950411,Down,0.000103248530489369,0.17059238450106
Q8N370,SLC43A2,Large neutral amino acids transporter small subunit 4,1,3.564783,11.4370375,-7.8722545,0.00426791009218638,Down,0.000160652931332244,0.195230709263597
O95376,ARIH2,E3 ubiquitin-protein ligase ARIH2,1,3.564783,12.525983,-8.9612,0.00200636527572006,Down,0.000177240771006443,0.195230709263597
Q96SB3,PPP1R9B,Neurabin-2,14,16.92052,16.67625,0.244269999999997,1.18449326871726,Up,0.000219009376899029,0.206776138846526
P30041,PRDX6,Peroxiredoxin-6,14,15.10807,15.883185,-0.775115,0.584342043394537,Down,0.000326382691160198,0.269632900734719
Q6PJ21,SPSB3,SPRY domain-containing SOCS box protein 3,2,3.564783,10.8383755,-7.2735925,0.00646294531539502,Down,0.000400748730816139,0.273151565651342
Q9H1B5,XYLT2,Xylosyltransferase 2,1,12.4773595,3.479408,8.9979515,511.273520946539,Up,0.000413302414361237,0.273151565651342
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",11,11.52957,11.787015,-0.257445,0.836568163018761,Down,0.000615180291706511,0.347099087525046
Q13263,TRIM28,Transcription intermediary factor 1-beta,18,18.51459,18.24249,0.272099999999998,1.20756429056401,Up,0.000653518057233916,0.347099087525046
P06733,ENO1,Alpha-enolase,19,17.299485,18.0489,-0.749415,0.594844712842196,Down,0.000719596155711735,0.347099087525046
Q15417,CNN3,Calponin-3,11,15.52647,16.1341,-0.60763,0.656273916648489,Down,0.000812397805782514,0.347099087525046
Q96R72,OR4K3,Olfactory receptor 4K3,1,13.476216,3.479408,9.996808,1021.73687811145,Up,0.000891566659953476,0.347099087525046
Q9NR09,BIRC6,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6,2,3.564783,12.820111,-9.255328,0.00163632155867581,Down,0.000893528779513468,0.347099087525046
Q13144,EIF2B5,Translation initiation factor eIF2B subunit epsilon,5,11.24148,11.70168,-0.4602,0.726885483950388,Down,0.000907336425073638,0.347099087525046
P09211,GSTP1,Glutathione S-transferase P,10,14.611865,15.168145,-0.55628,0.680053427801676,Down,0.000949848559913225,0.347099087525046
Q8ND82,ZNF280C,Zinc finger protein 280C,5,11.193505,10.773545,0.41996,1.33789046007186,Up,0.0010040256196853,0.347099087525046
P53992,SEC24C,Protein transport protein Sec24C,23,14.085235,14.600715,-0.51548,0.699560142966368,Down,0.00120350512847035,0.347099087525046
O15243,LEPROT,Leptin receptor gene-related protein,1,11.0655645,3.479408,7.5861565,192.158968282246,Up,0.00122065337931905,0.347099087525046
P11766,ADH5,Alcohol dehydrogenase class-3,7,11.880915,12.73846,-0.857545,0.55189089901412,Down,0.00130482692637917,0.347099087525046
P35237,SERPINB6,Serpin B6,11,12.792065,13.653045,-0.86098,0.550578431633829,Down,0.00133809238649939,0.347099087525046
Q9H6X2,ANTXR1,Anthrax toxin receptor 1,10,15.734485,14.93785,0.796634999999998,1.73704484458003,Up,0.0014845765745087,0.347099087525046
O95486,SEC24A,Protein transport protein Sec24A,16,11.38502,12.09873,-0.71371,0.609750102223785,Down,0.00148781126214531,0.347099087525046
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,18,16.428285,16.713475,-0.28519,0.820633525928698,Down,0.00152745111742746,0.347099087525046
Q9Y3B7,MRPL11,Large ribosomal subunit protein uL11m,10,13.7368,13.315365,0.421434999999999,1.33925900817447,Up,0.00166699971521537,0.347099087525046
O96008,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,10,13.50553,14.296785,-0.791255,0.577841209354273,Down,0.00169764012930311,0.347099087525046
P09923,ALPI,Intestinal-type alkaline phosphatase,15,16.575725,17.44486,-0.869135,0.547475003097896,Down,0.00179222357369415,0.347099087525046
P23919,DTYMK,Thymidylate kinase,6,11.934895,12.3466,-0.411705,0.7517344367869,Down,0.00181133379322643,0.347099087525046
Q9P000,COMMD9,COMM domain-containing protein 9,1,10.472059,3.479408,6.992651,127.349633724635,Up,0.00198022096520358,0.347099087525046
P35606,COPB2,Coatomer subunit beta',26,13.307015,13.66598,-0.358965,0.779723758598241,Down,0.00199678724958138,0.347099087525046
P12429,ANXA3,Annexin A3,16,12.39587,13.241955,-0.846085,0.556292283970479,Down,0.00202087336067911,0.347099087525046
Q8NBN7,RDH13,Retinol dehydrogenase 13,8,12.433055,12.10489,0.328164999999998,1.25541556405251,Up,0.00216659765037924,0.347099087525046
P14923,JUP,Junction plakoglobin,30,14.926045,15.16103,-0.234985,0.849693833535998,Down,0.00217850160023388,0.347099087525046
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,28,16.9761,16.82911,0.146989999999999,1.10725690953763,Up,0.00229565330878321,0.347099087525046
P0DMU9,CT45A10,Cancer/testis antigen family 45 member A10,7,15.345075,14.802715,0.54236,1.45635291175099,Up,0.00235285747592632,0.347099087525046
P09382,LGALS1,Galectin-1,8,15.68376,16.17705,-0.49329,0.710403207183172,Down,0.00247480648680858,0.347099087525046
P00966,ASS1,Argininosuccinate synthase,15,15.56389,16.29619,-0.7323,0.601943506967141,Down,0.00252858627200472,0.347099087525046
P57081,WDR4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,2,3.564783,13.717482,-10.152699,0.000878482398034967,Down,0.00260392727733644,0.347099087525046
P07355,ANXA2,Annexin A2,21,19.63859,19.49775,0.140840000000001,1.10254687992642,Up,0.00262332176945486,0.347099087525046
Q9BZF9,UACA,Uveal autoantigen with coiled-coil domains and ankyrin repeats,34,14.31122,13.937435,0.373785,1.29574785009069,Up,0.00267261245152205,0.347099087525046
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,21,15.988195,15.818915,0.169280000000001,1.12449714636892,Up,0.00274598287606946,0.347099087525046
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",21,15.287915,15.38519,-0.097275,0.934796993995082,Down,0.00286716725825861,0.347099087525046
Q8N183,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,9,13.927805,13.49726,0.430544999999999,1.347742611,Up,0.00287500868886157,0.347099087525046
Q96T37,RBM15,RNA-binding protein 15,38,15.61614,15.329465,0.286675000000002,1.21982568572931,Up,0.00290004927531576,0.347099087525046
Q15008,PSMD6,26S proteasome non-ATPase regulatory subunit 6,18,13.6124,13.190525,0.421874999999998,1.3396675240533,Up,0.00291439140910125,0.347099087525046
O95782,AP2A1,AP-2 complex subunit alpha-1,36,16.378615,16.554675,-0.17606,0.885116952834855,Down,0.002965161362859,0.347099087525046
P29992,GNA11,Guanine nucleotide-binding protein subunit alpha-11,7,11.603755,11.88088,-0.277125,0.825233904345757,Down,0.0029653452818061,0.347099087525046
Q9H3U1,UNC45A,Protein unc-45 homolog A,26,14.93461,15.07915,-0.14454,0.90466778282455,Down,0.00297124629346087,0.347099087525046
Q14865,ARID5B,AT-rich interactive domain-containing protein 5B,27,12.603575,13.40639,-0.802815,0.573229594659749,Down,0.00297326585884277,0.347099087525046
Q9UJS0,SLC25A13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",20,13.823845,14.09119,-0.267345,0.830847152555737,Down,0.00303025185987923,0.347099087525046
O95470,SGPL1,Sphingosine-1-phosphate lyase 1,17,15.07071,14.842985,0.227725000000001,1.17098695171037,Up,0.0030586587988337,0.347099087525046
Q9Y3D5,MRPS18C,Small ribosomal subunit protein bS18m,1,12.443705,11.87305,0.570655000000002,1.48519771428141,Up,0.00306179805869798,0.347099087525046
P12956,XRCC6,X-ray repair cross-complementing protein 6,35,18.28815,18.187095,0.101055000000002,1.07255750525013,Up,0.0031292855353956,0.347099087525046
Q5T8P6,RBM26,RNA-binding protein 26,28,15.612975,15.35712,0.255854999999999,1.19404317213311,Up,0.00316424214484056,0.347099087525046
Q9UJT1,TUBD1,Tubulin delta chain,1,3.564783,10.796839,-7.232056,0.00665172389185245,Down,0.00323846022793789,0.347099087525046
P53618,COPB1,Coatomer subunit beta,34,13.08703,13.6096,-0.52257,0.696130649026543,Down,0.0032862620943017,0.347099087525046
Q96JJ3,ELMO2,Engulfment and cell motility protein 2,10,13.217515,13.717685,-0.50017,0.707023464153281,Down,0.00330516509451861,0.347099087525046
Q12996,CSTF3,Cleavage stimulation factor subunit 3,29,17.533435,17.33914,0.194295,1.14416490631613,Up,0.00332397992865369,0.347099087525046
Q96BR5,COA7,Cytochrome c oxidase assembly factor 7,2,11.330895,11.58733,-0.256435,0.837154031584048,Down,0.00333236402939618,0.347099087525046
Q8N0X4,CLYBL,"Citramalyl-CoA lyase, mitochondrial",7,13.28561,13.79698,-0.51137,0.701555915788626,Down,0.00335891832696414,0.347099087525046
P31150,GDI1,Rab GDP dissociation inhibitor alpha,5,12.2235,12.65454,-0.43104,0.741726901599043,Down,0.00337187661631182,0.347099087525046
Q15796,SMAD2,Mothers against decapentaplegic homolog 2,3,13.787295,13.08144,0.705855,1.63111104143655,Up,0.00341727529161222,0.347099087525046
Q08426,EHHADH,Peroxisomal bifunctional enzyme,32,14.28292,14.66423,-0.38131,0.76774014848092,Down,0.00345227444914368,0.347099087525046
P68036,UBE2L3,Ubiquitin-conjugating enzyme E2 L3,3,12.80265,13.555435,-0.752785,0.593456833118662,Down,0.00351394379712494,0.347099087525046
Q92576,PHF3,PHD finger protein 3,51,14.93176,14.773715,0.158045000000001,1.11577412458818,Up,0.00351878330521684,0.347099087525046
Q14684,RRP1B,Ribosomal RNA processing protein 1 homolog B,24,16.75377,16.491815,0.261955,1.19910251125417,Up,0.0036591916225161,0.35564113872366
A8MQ03,CYSRT1,Cysteine-rich tail protein 1,1,10.71411,11.26864,-0.55453,0.680878838268232,Down,0.0038091592082973,0.35590922719236
P23769,GATA2,Endothelial transcription factor GATA-2,9,12.78335,13.415275,-0.631925,0.64531479171354,Down,0.00389161779950676,0.35590922719236
Q8IVF2,AHNAK2,Protein AHNAK2,53,14.952575,13.940965,1.01161,2.01615981287415,Up,0.00393277017886907,0.35590922719236
Q15020,SART3,Squamous cell carcinoma antigen recognized by T-cells 3,32,15.87353,15.68535,0.188179999999999,1.13932551800342,Up,0.00404659735126752,0.35590922719236
Q9Y512,SAMM50,Sorting and assembly machinery component 50 homolog,15,13.6907,13.780175,-0.089475,0.939864705890605,Down,0.00410427625689034,0.35590922719236
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B,49,16.42303,15.838565,0.584465000000002,1.49948282734306,Up,0.00410931480795837,0.35590922719236
Q9H6F5,CCDC86,Coiled-coil domain-containing protein 86,10,14.77335,14.29826,0.475090000000002,1.39000493015752,Up,0.00416681775963009,0.35590922719236
Q9NTJ3,SMC4,Structural maintenance of chromosomes protein 4,53,15.56713,15.50222,0.0649099999999976,1.0460196836536,Up,0.00420869690644734,0.35590922719236
Q96FF9,CDCA5,Sororin,6,13.276935,12.405025,0.87191,1.83008416610355,Up,0.00423147007331759,0.35590922719236
P50454,SERPINH1,Serpin H1,17,15.213915,14.792715,0.421199999999999,1.33904087459349,Up,0.00429505282671419,0.35590922719236
P61244,MAX,Protein max,4,14.107245,13.719195,0.38805,1.30862342410095,Up,0.00429703626583925,0.35590922719236
Q5T3I0,GPATCH4,G patch domain-containing protein 4,14,14.66906,14.271715,0.397345,1.31708184579393,Up,0.00436298383101044,0.35590922719236
Q9UN86,G3BP2,Ras GTPase-activating protein-binding protein 2,16,14.514675,14.080535,0.434139999999999,1.3511051902397,Up,0.00446492719167144,0.35590922719236
Q9H3F6,KCTD10,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,11,16.42963,15.892405,0.537224999999999,1.451178513,Up,0.00464524417164317,0.35590922719236
P14618,PKM,Pyruvate kinase PKM,32,15.319125,15.956525,-0.6374,0.642870475460481,Down,0.00476871102548373,0.35590922719236
P39880,CUX1,Homeobox protein cut-like 1,44,14.334125,14.07009,0.264035,1.20083255951144,Up,0.00486248317598027,0.35590922719236
P08240,SRPRA,Signal recognition particle receptor subunit alpha,27,14.582455,14.18422,0.398235,1.31789460555981,Up,0.00505964331008475,0.35590922719236
P00558,PGK1,Phosphoglycerate kinase 1,19,16.65699,17.171455,-0.514465,0.700052487752105,Down,0.00510041374023909,0.35590922719236
Q6P1K2,PMF1,Polyamine-modulated factor 1,11,13.472675,13.08549,0.387184999999999,1.30783904489961,Up,0.00511989766550424,0.35590922719236
Q96AQ8,MCUR1,Mitochondrial calcium uniporter regulator 1,2,12.522507,3.479408,9.043099,527.526222689547,Up,0.00521862973531057,0.35590922719236
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,36,16.929645,16.54752,0.382125000000002,1.30326006335141,Up,0.00536024664411957,0.35590922719236
Q15382,RHEB,GTP-binding protein Rheb,5,12.08838,12.637845,-0.549465,0.683273462256465,Down,0.00550926055966121,0.35590922719236
Q6I9Y2,THOC7,THO complex subunit 7,12,15.14126,14.96414,0.17712,1.13062460592452,Up,0.00551317464036662,0.35590922719236
Q9ULJ7,ANKRD50,Ankyrin repeat domain-containing protein 50,1,3.564783,12.188076,-8.623293,0.00253588844968389,Down,0.00557552749331551,0.35590922719236
Q13283,G3BP1,Ras GTPase-activating protein-binding protein 1,18,17.450825,17.17735,0.273475000000001,1.20871574138982,Up,0.00564422190474742,0.35590922719236
P60900,PSMA6,Proteasome subunit alpha type-6,10,16.023915,15.70369,0.320225000000002,1.24852525136402,Up,0.0056991538598733,0.35590922719236
P08195,SLC3A2,Amino acid transporter heavy chain SLC3A2,19,16.037135,15.9326,0.104534999999998,1.07514780002018,Up,0.00576136690148583,0.35590922719236
Q9NQW7,XPNPEP1,Xaa-Pro aminopeptidase 1,11,11.269335,12.12857,-0.859235,0.551244782185822,Down,0.00588288500602663,0.35590922719236
Q9Y6K5,OAS3,2'-5'-oligoadenylate synthase 3,30,14.72441,14.914605,-0.190195,0.876487244050209,Down,0.00588496018103357,0.35590922719236
P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,10,14.37498,14.82424,-0.44926,0.732418430230808,Down,0.00591624338965598,0.35590922719236
Q07002,CDK18,Cyclin-dependent kinase 18,2,3.564783,14.2132825,-10.6484995,0.000622991672762183,Down,0.0059669982092166,0.35590922719236
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2,1,3.564783,10.8443975,-7.2796145,0.00643602435138387,Down,0.00614211553632484,0.35590922719236
O95983,MBD3,Methyl-CpG-binding domain protein 3,11,14.577555,14.36012,0.217435,1.16266462017333,Up,0.00617831563238065,0.35590922719236
P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme",19,17.144145,17.731485,-0.58734,0.665568933475662,Down,0.00620984309126369,0.35590922719236
Q16526,CRY1,Cryptochrome-1,3,11.658085,10.261545,1.39654,2.63269428175474,Up,0.00625498016547943,0.35590922719236
Q6UXV4,APOOL,MICOS complex subunit MIC27,7,13.970315,13.56216,0.408154999999999,1.32698770159532,Up,0.0062552490549707,0.35590922719236
O75691,UTP20,Small subunit processome component 20 homolog,82,15.842425,15.44128,0.401145,1.32055555855293,Up,0.00638995333395096,0.35590922719236
Q68DI1,ZNF776,Zinc finger protein 776,3,12.53098,11.84656,0.684419999999999,1.60705577441535,Up,0.00644689039171893,0.35590922719236
P49411,TUFM,"Elongation factor Tu, mitochondrial",24,15.481425,15.697935,-0.21651,0.860644892230903,Down,0.00647890290710641,0.35590922719236
Q9UMX5,NENF,Neudesin,2,11.257435,11.67746,-0.420025,0.747411672547913,Down,0.0065396025317293,0.35590922719236
Q09028,RBBP4,Histone-binding protein RBBP4,5,17.946295,17.762545,0.18375,1.13583242297174,Up,0.00657467244168008,0.35590922719236
P18621,RPL17,Large ribosomal subunit protein uL22,6,16.010475,16.13837,-0.127895,0.915165771884497,Down,0.00657495140965117,0.35590922719236
P50416,CPT1A,"Carnitine O-palmitoyltransferase 1, liver isoform",29,15.728115,15.406115,0.321999999999999,1.25006230258521,Up,0.00661559539422367,0.35590922719236
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",1,11.266965,10.63607,0.630894999999999,1.54852534922719,Up,0.00666293829158235,0.35590922719236
Q9UNX4,WDR3,WD repeat-containing protein 3,29,14.88996,14.650585,0.239375000000001,1.18048114615263,Up,0.00666438833064099,0.35590922719236
Q8IWI9,MGA,MAX gene-associated protein,44,15.28702,15.068815,0.218204999999999,1.16328532703308,Up,0.00674713322138159,0.35590922719236
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",18,16.8778,17.017535,-0.139735,0.907685867378973,Down,0.00674780046002433,0.35590922719236
Q13033,STRN3,Striatin-3,16,13.71059,14.143875,-0.433285,0.740573586508199,Down,0.00675340880540023,0.35590922719236
P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,16,12.94044,13.15683,-0.21639,0.860716481637844,Down,0.00679971392412463,0.35590922719236
O43865,AHCYL1,S-adenosylhomocysteine hydrolase-like protein 1,11,13.37281,13.897395,-0.524585,0.69515904788975,Down,0.00683047526419516,0.35590922719236
O60343,TBC1D4,TBC1 domain family member 4,14,10.788175,11.147875,-0.3597,0.779326619226982,Down,0.00684125536935025,0.35590922719236
Q96SI9,STRBP,Spermatid perinuclear RNA-binding protein,37,17.9322,17.664175,0.268025000000002,1.20415824752298,Up,0.00691054583830154,0.35590922719236
Q9H0L4,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,22,17.23629,17.051215,0.185075000000001,1.13687607338318,Up,0.00692147418233095,0.35590922719236
Q14192,FHL2,Four and a half LIM domains protein 2,12,14.79253,14.723855,0.0686749999999989,1.0487530453916,Up,0.00696218861728057,0.35590922719236
Q8WVM8,SCFD1,Sec1 family domain-containing protein 1,13,12.6281,12.7599,-0.1318,0.912692005751846,Down,0.00700740502189749,0.35590922719236
P12004,PCNA,Proliferating cell nuclear antigen,11,15.054805,15.501185,-0.44638,0.73388199102888,Down,0.00704340365552271,0.35590922719236
Q16513,PKN2,Serine/threonine-protein kinase N2,33,15.659545,15.58546,0.0740849999999984,1.05269317494341,Up,0.00708095016015105,0.35590922719236
P50995,ANXA11,Annexin A11,12,14.15096,14.93479,-0.78383,0.580822803197665,Down,0.00708933565485366,0.35590922719236
Q14151,SAFB2,Scaffold attachment factor B2,28,17.565085,17.24025,0.324835,1.25252118048052,Up,0.00711051811656826,0.35590922719236
Q9UK22,FBXO2,F-box only protein 2,5,10.66873,11.862375,-1.193645,0.437196876803125,Down,0.00716899161346596,0.35590922719236
Q53H47,SETMAR,Histone-lysine N-methyltransferase SETMAR,14,13.55565,13.712225,-0.156575,0.89715241066977,Down,0.00724554312378837,0.35590922719236
P18669,PGAM1,Phosphoglycerate mutase 1,11,14.55792,15.43538,-0.87746,0.544324923244533,Down,0.00727153023797305,0.35590922719236
Q96D46,NMD3,60S ribosomal export protein NMD3,15,15.725365,15.642205,0.0831599999999995,1.05933581227046,Up,0.00728019485572763,0.35590922719236
P04350,TUBB4A,Tubulin beta-4A chain,1,14.43824,15.14824,-0.71,0.611320138846034,Down,0.00738121693948301,0.35590922719236
Q9Y6Q3,ZFP37,Zinc finger protein 37 homolog,2,13.579969,3.479408,10.100561,1097.92287606412,Up,0.00755389893149063,0.35590922719236
O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,12,12.233425,13.103975,-0.87055,0.546938301072392,Down,0.00757626598092101,0.35590922719236
O43148,RNMT,mRNA cap guanine-N(7) methyltransferase,16,14.940815,14.513225,0.42759,1.34498492247557,Up,0.00758894822311794,0.35590922719236
P26640,VARS1,Valine--tRNA ligase,42,14.789195,14.555345,0.23385,1.1759689759975,Up,0.00763385786226244,0.35590922719236
Q9P258,RCC2,Protein RCC2,24,17.561865,17.82889,-0.267025,0.831031460791022,Down,0.00768041739363053,0.35590922719236
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3,3,15.66868,15.188145,0.480535000000001,1.39526098027557,Up,0.00774222921433915,0.35590922719236
Q86V21,AACS,Acetoacetyl-CoA synthetase,2,3.564783,10.5003285,-6.9355455,0.00816944904309204,Down,0.00776658877629928,0.35590922719236
Q15397,PUM3,Pumilio homolog 3,19,13.026915,13.351345,-0.32443,0.798613851488896,Down,0.00779302660698382,0.35590922719236
Q5TA45,INTS11,Integrator complex subunit 11,16,15.070815,15.014565,0.0562499999999986,1.0397595961732,Up,0.00781822874472249,0.35590922719236
P08779,KRT16,"Keratin, type I cytoskeletal 16",3,10.41631,11.68145,-1.26514,0.416058990780413,Down,0.00782278191276263,0.35590922719236
P85037,FOXK1,Forkhead box protein K1,16,14.82668,14.55338,0.273299999999999,1.20856913214796,Up,0.00786858994340594,0.35590922719236
Q9P206,NHSL3,NHS-like protein 3,6,11.57376,11.7411,-0.16734,0.890483015706692,Down,0.00787584730093213,0.35590922719236
Q9Y483,MTF2,Metal-response element-binding transcription factor 2,16,14.866735,14.59721,0.269525,1.20541088694908,Up,0.00811506599087457,0.35590922719236
P54289,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1,14,13.186485,13.68354,-0.497055,0.708551685556036,Down,0.00834219917489884,0.35590922719236
Q12830,BPTF,Nucleosome-remodeling factor subunit BPTF,70,15.38387,15.22044,0.16343,1.11994664269236,Up,0.00844272378063633,0.35590922719236
P00491,PNP,Purine nucleoside phosphorylase,9,13.361845,14.07127,-0.709425,0.611563834934149,Down,0.00845564297861769,0.35590922719236
P04406,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,17,19.05062,19.365345,-0.314725,0.804004231785898,Down,0.008504280768952,0.35590922719236
Q9H0S4,DDX47,Probable ATP-dependent RNA helicase DDX47,14,17.038495,16.65492,0.383575000000004,1.30457058082342,Up,0.00851042307501349,0.35590922719236
Q96FJ0,STAMBPL1,AMSH-like protease,7,12.580605,12.240865,0.339740000000001,1.26552850206432,Up,0.00860457389200825,0.35590922719236
Q13489,BIRC3,Baculoviral IAP repeat-containing protein 3,1,3.564783,11.5277465,-7.9629635,0.00400782852648963,Down,0.00868725876553809,0.35590922719236
O43464,HTRA2,"Serine protease HTRA2, mitochondrial",7,13.19081,13.449675,-0.258865,0.835745160007148,Down,0.00870670632877665,0.35590922719236
Q96ME1,FBXL18,F-box/LRR-repeat protein 18,12,12.992785,13.390185,-0.3974,0.759225313768542,Down,0.00876902375605122,0.35590922719236
Q9H8V3,ECT2,Protein ECT2,26,14.68304,14.13953,0.543509999999999,1.45751426150851,Up,0.00883689501200626,0.35590922719236
Q9ULR3,PPM1H,Protein phosphatase 1H,8,11.646335,12.08354,-0.437205,0.738564077945041,Down,0.0090098984208034,0.35590922719236
Q6P161,MRPL54,Large ribosomal subunit protein mL54,1,13.69742,13.132985,0.564435,1.47880825287903,Up,0.00905700536113032,0.35590922719236
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,38,14.98564,15.3296,-0.34396,0.787875730300163,Down,0.00907117799535687,0.35590922719236
O94763,URI1,Unconventional prefoldin RPB5 interactor 1,3,11.96033,11.34885,0.61148,1.52782573729675,Up,0.00916004439752158,0.35590922719236
P22314,UBA1,Ubiquitin-like modifier-activating enzyme 1,25,13.2545,14.117005,-0.862505,0.549996750492321,Down,0.00916330487229587,0.35590922719236
Q9BRA2,TXNDC17,Thioredoxin domain-containing protein 17,4,11.769935,12.483575,-0.71364,0.609779688201033,Down,0.00923097994562484,0.35590922719236
P33316,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",5,13.29967,13.96357,-0.6639,0.631169763894085,Down,0.00932957166278241,0.35590922719236
Q9H9L3,ISG20L2,Interferon-stimulated 20 kDa exonuclease-like 2,9,13.31462,12.794065,0.520555,1.43450699196671,Up,0.0093329447503129,0.35590922719236
Q6UB35,MTHFD1L,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",26,15.361955,15.03741,0.324544999999999,1.25226943314137,Up,0.00934118781129451,0.35590922719236
Q68CP9,ARID2,AT-rich interactive domain-containing protein 2,32,15.835415,15.48253,0.352884999999999,1.27711195408463,Up,0.00938568549291035,0.35590922719236
P46778,RPL21,Large ribosomal subunit protein eL21,6,16.09939,16.20999,-0.1106,0.926202784870445,Down,0.00951313320078854,0.35590922719236
Q8NEU8,APPL2,DCC-interacting protein 13-beta,10,14.617755,14.292465,0.325289999999999,1.25291626537237,Up,0.00957358691003196,0.35590922719236
Q00839,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,27,19.87051,19.37011,0.500399999999999,1.41460571999256,Up,0.00960964096082586,0.35590922719236
P60174,TPI1,Triosephosphate isomerase,13,14.752645,15.61413,-0.861485,0.550385741257181,Down,0.00965964023514577,0.35590922719236
P20585,MSH3,DNA mismatch repair protein Msh3,31,14.87116,15.015085,-0.143925,0.905053511806699,Down,0.00969380122991709,0.35590922719236
P98179,RBM3,RNA-binding protein 3,5,17.662025,17.114515,0.547509999999999,1.46156095643049,Up,0.00977178011396785,0.35590922719236
P40763,STAT3,Signal transducer and activator of transcription 3,22,13.48237,13.75574,-0.27337,0.827384594125172,Down,0.00977651543743146,0.35590922719236
P18754,RCC1,Regulator of chromosome condensation,20,19.312015,19.023455,0.288560000000004,1.22142053021549,Up,0.00993924446682002,0.35590922719236
P17275,JUNB,Transcription factor JunB,7,14.30577,13.46418,0.84159,1.79202405083479,Up,0.0100267053472191,0.35590922719236
P33991,MCM4,DNA replication licensing factor MCM4,39,16.71034,16.919205,-0.208865,0.865217649425602,Down,0.0100763481844245,0.35590922719236
Q86VM9,ZC3H18,Zinc finger CCCH domain-containing protein 18,18,14.897345,15.015075,-0.11773,0.921636654118579,Down,0.0100863372516996,0.35590922719236
O14686,KMT2D,Histone-lysine N-methyltransferase 2D,71,19.07236,18.914375,0.157985,1.11572772181179,Up,0.0101005764446747,0.35590922719236
Q12979,ABR,Active breakpoint cluster region-related protein,3,3.564783,10.145477,-6.580694,0.0104475320886518,Down,0.0101238219457472,0.35590922719236
Q9HAV4,XPO5,Exportin-5,39,13.522055,14.126395,-0.60434,0.657772227038641,Down,0.0101428635097787,0.35590922719236
P51659,HSD17B4,Peroxisomal multifunctional enzyme type 2,30,15.74217,15.497765,0.244404999999999,1.18460411270619,Up,0.0101776948033052,0.35590922719236
Q9ULW0,TPX2,Targeting protein for Xklp2,38,16.0085,15.253465,0.755035000000001,1.68767253495447,Up,0.0102089827524658,0.35590922719236
P61599,NAA20,N-alpha-acetyltransferase 20,6,12.75557,13.004645,-0.249075,0.841435738237631,Down,0.0102531876525887,0.35590922719236
Q86TS9,MRPL52,Large ribosomal subunit protein mL52,1,10.131761,9.5440465,0.587714500000001,1.50286404158081,Up,0.0103611978031647,0.35590922719236
Q9UBT7,CTNNAL1,Alpha-catulin,18,12.318255,11.922585,0.395670000000001,1.31555357276818,Up,0.0103769543616663,0.35590922719236
P24534,EEF1B2,Elongation factor 1-beta,4,17.71886,17.44676,0.272099999999998,1.20756429056401,Up,0.010377365992527,0.35590922719236
P06744,GPI,Glucose-6-phosphate isomerase,20,14.227935,15.08292,-0.854985,0.552871074945653,Down,0.0103882406879101,0.35590922719236
