Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
Q96BW9,TAMM41,"Phosphatidate cytidylyltransferase, mitochondrial",5,12.000925,11.788115,0.212809999999998,1.1589433113786,Up,0.142764972883575,0.445916978242814
Q14694,USP10,Ubiquitin carboxyl-terminal hydrolase 10,18,14.83163,14.39749,0.434139999999999,1.3511051902397,Up,0.142769000750763,0.445916978242814
Q9C0D5,TANC1,Protein TANC1,25,13.155645,13.285245,-0.1296,0.914084853234186,Down,0.142866990872985,0.445922296361155
A8MPP1,DDX11L8,Putative ATP-dependent DNA helicase DDX11-like protein 8,1,9.811449,11.363675,-1.552226,0.340983539033831,Down,0.143005716930823,0.445922296361155
P53611,RABGGTB,Geranylgeranyl transferase type-2 subunit beta,2,10.282695,11.05529,-0.772595,0.585363623648142,Down,0.14302039684143,0.445922296361155
P67812,SEC11A,Signal peptidase complex catalytic subunit SEC11A,5,14.62982,14.18189,0.447929999999999,1.36408164761929,Up,0.143040591358095,0.445922296361155
Q8TBP6,SLC25A40,Mitochondrial glutathione transporter SLC25A40,3,11.068145,11.415235,-0.34709,0.786168246883208,Down,0.14338845780757,0.446431366922065
Q96EK6,GNPNAT1,Glucosamine 6-phosphate N-acetyltransferase,5,15.3178,15.60909,-0.29129,0.817171050233074,Down,0.14344243365587,0.446431366922065
Q6UX53,TMT1B,Thiol S-methyltransferase TMT1B,1,9.574111,11.4379895,-1.8638785,0.274736691024931,Down,0.1434699842218,0.446431366922065
Q9H7B4,SMYD3,Histone-lysine N-methyltransferase SMYD3,8,11.74899,12.24477,-0.49578,0.70917815385889,Down,0.143543268393419,0.446431366922065
Q9H4F8,SMOC1,SPARC-related modular calcium-binding protein 1,3,12.086665,11.352245,0.73442,1.66372847390895,Up,0.143644855162618,0.446431366922065
Q9NP81,SARS2,"Serine--tRNA ligase, mitochondrial",11,13.244395,12.90365,0.340745000000002,1.26641039269755,Up,0.14374621593874,0.446431366922065
Q8WTS6,SETD7,Histone-lysine N-methyltransferase SETD7,2,10.4332005,11.944754,-1.5115535,0.350733344403538,Down,0.143853580889417,0.446431366922065
Q9UQB8,BAIAP2,BAR/IMD domain-containing adapter protein 2,18,13.79885,13.62083,0.17802,1.13133014630321,Up,0.143935092369686,0.446431366922065
P80723,BASP1,Brain acid soluble protein 1,3,13.50943,14.031435,-0.522005,0.696403326780323,Down,0.144016722789158,0.446431366922065
O43760,SYNGR2,Synaptogyrin-2,2,11.709475,12.18809,-0.478615,0.717666259363811,Down,0.144059340468937,0.446431366922065
P26599,PTBP1,Polypyrimidine tract-binding protein 1,14,19.64223,19.308905,0.333324999999995,1.25991377232653,Up,0.144215620245522,0.446431366922065
Q8WVK2,SNRNP27,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,8,15.10606,14.8881,0.21796,1.16308779345981,Up,0.1443406537395,0.446431366922065
P61024,CKS1B,Cyclin-dependent kinases regulatory subunit 1,2,15.518125,15.20057,0.317555,1.24621673881501,Up,0.144448976388858,0.446431366922065
Q9BTT4,MED10,Mediator of RNA polymerase II transcription subunit 10,3,13.88501,13.4142,0.47081,1.3858873550878,Up,0.144467524966944,0.446431366922065
Q567V2,MPV17L2,Mpv17-like protein 2,2,10.91509,10.6258,0.289289999999998,1.22203872226776,Up,0.144468802228894,0.446431366922065
Q13421,MSLN,Mesothelin,9,12.65406,13.10891,-0.45485,0.729586024751147,Down,0.144542395071916,0.446431366922065
Q16186,ADRM1,Proteasomal ubiquitin receptor ADRM1,5,13.42042,12.939765,0.480654999999999,1.39537703964803,Up,0.144570021382748,0.446431366922065
P48643,CCT5,T-complex protein 1 subunit epsilon,33,17.202655,17.03109,0.171565000000001,1.12627958257502,Up,0.144602170348674,0.446431366922065
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",7,13.797825,14.16905,-0.371225,0.773125752816934,Down,0.144635937397113,0.446431366922065
O60318,MCM3AP,Germinal-center associated nuclear protein,31,12.86628,13.617545,-0.751265,0.594082419068981,Down,0.144678890440366,0.446431366922065
Q86UN3,RTN4RL2,Reticulon-4 receptor-like 2,6,12.534615,13.351215,-0.8166,0.56777845086474,Down,0.144730479978791,0.446431366922065
P06132,UROD,Uroporphyrinogen decarboxylase,3,9.724368,10.198976,-0.474608,0.719662305546116,Down,0.144731344400678,0.446431366922065
Q14938,NFIX,Nuclear factor 1 X-type,7,14.02827,13.73512,0.293149999999999,1.22531272359092,Up,0.144802165940539,0.446431366922065
Q13601,KRR1,KRR1 small subunit processome component homolog,11,14.650965,14.540765,0.110199999999999,1.07937785967714,Up,0.144825064409276,0.446431366922065
Q9UQ80,PA2G4,Proliferation-associated protein 2G4,18,16.952235,16.80608,0.146155,1.10661623913428,Up,0.144903664964015,0.44646486822127
O43688,PLPP2,Phospholipid phosphatase 2,3,13.739915,13.310125,0.429790000000001,1.34703748659495,Up,0.145146147943999,0.44646486822127
O95630,STAMBP,STAM-binding protein,5,10.48262,11.000555,-0.517935,0.698370730315569,Down,0.145261466073314,0.44646486822127
Q15572,TAF1C,TATA box-binding protein-associated factor RNA polymerase I subunit C,21,13.48528,13.32943,0.155849999999999,1.1140778118133,Up,0.145315282457099,0.44646486822127
Q92817,EVPL,Envoplakin,21,14.586095,14.358125,0.227969999999999,1.17118582684098,Up,0.145419358515027,0.44646486822127
Q96FV9,THOC1,THO complex subunit 1,30,16.35675,16.210275,0.146474999999999,1.10686172169452,Up,0.145505980891201,0.44646486822127
Q9UM54,MYO6,Unconventional myosin-VI,20,13.288715,13.673175,-0.38446,0.76606568287578,Down,0.145593094446531,0.44646486822127
Q92922,SMARCC1,SWI/SNF complex subunit SMARCC1,23,16.39364,16.13683,0.256810000000002,1.19483383731046,Up,0.145641950197166,0.44646486822127
