sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
S4H2	Sham	4	hour	4 h	4	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.17001764017344
S4H3	Sham	4	hour	4 h	4	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.69520677844709
S4H4	Sham	4	hour	4 h	4	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.7957860962269
S4H5	Sham	4	hour	4 h	4	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.84661422906226
S4H6	Sham	4	hour	4 h	4	6	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.12857254406578
S4H7	Sham	4	hour	4 h	4	7	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.14254088652128
S4H8	Sham	4	hour	4 h	4	8	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.99218861591961
S4H9	Sham	4	hour	4 h	4	9	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-1.68550127808849
S10H1	Sham	10	hour	10 h	10	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.9933393333211
S10H2	Sham	10	hour	10 h	10	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-5.97307877233382
S10H3	Sham	10	hour	10 h	10	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.43966536942276
S20H1	Sham	20	hour	20 h	20	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-1.89113981230286
S20H2	Sham	20	hour	20 h	20	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.12731220221962
S20H3	Sham	20	hour	20 h	20	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.79347152967398
S48H1	Sham	48	hour	48 h	48	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.37591054503652
S48H2	Sham	48	hour	48 h	48	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.15500668674802
S48H3	Sham	48	hour	48 h	48	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.25859390355717
X1H1	Post-PH	1	hour	1 h	1	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.05688320445153
X1H2	Post-PH	1	hour	1 h	1	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.67464039546511
X1H3	Post-PH	1	hour	1 h	1	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.89398574392359
X1H4	Post-PH	1	hour	1 h	1	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.47598953352588
X1H5	Post-PH	1	hour	1 h	1	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.45906573986344
X1H6	Post-PH	1	hour	1 h	1	6	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.42302655033019
X4H4	Post-PH	4	hour	4 h	4	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.99747202030829
X4H5	Post-PH	4	hour	4 h	4	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.3183037839341
X4H6	Post-PH	4	hour	4 h	4	6	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.87739791584021
X10H1	Post-PH	10	hour	10 h	10	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.70874371835888
X10H2	Post-PH	10	hour	10 h	10	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.84712251464921
X10H3	Post-PH	10	hour	10 h	10	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.61945095194842
X10H4	Post-PH	10	hour	10 h	10	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.72207840779887
X10H5	Post-PH	10	hour	10 h	10	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.80122921678069
X10H6	Post-PH	10	hour	10 h	10	6	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.28662005332322
X20H1	Post-PH	20	hour	20 h	20	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.13817806909848
X20H2	Post-PH	20	hour	20 h	20	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.17874748793493
X20H3	Post-PH	20	hour	20 h	20	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.87958936886408
X20H4	Post-PH	20	hour	20 h	20	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.61421304500864
X20H5	Post-PH	20	hour	20 h	20	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.82762002632412
X20H6	Post-PH	20	hour	20 h	20	6	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.46034621047416
X28H1	Post-PH	28	hour	28 h	28	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.89760722692018
X28H2	Post-PH	28	hour	28 h	28	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.30260633729372
X28H3	Post-PH	28	hour	28 h	28	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.49371176406519
X36H1	Post-PH	36	hour	36 h	36	1	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-1.83646601841272
X36H2	Post-PH	36	hour	36 h	36	2	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-1.75304095809127
X36H3	Post-PH	36	hour	36 h	36	3	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-2.43950171671127
X36H4	Post-PH	36	hour	36 h	36	4	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-3.67440918812192
X36H5	Post-PH	36	hour	36 h	36	5	ENSMUSG00000031659	Adcy7	Adcy7	protein_coding	-5.50009576891901
