sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
X10H5	Post-PH	10	hour	10 h	10	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.824355076671862
X10H6	Post-PH	10	hour	10 h	10	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.581759523871884
X20H1	Post-PH	20	hour	20 h	20	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.921967154303417
X20H2	Post-PH	20	hour	20 h	20	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.933122912678778
X20H3	Post-PH	20	hour	20 h	20	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.972538500040692
X20H4	Post-PH	20	hour	20 h	20	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.26450548723641
X20H5	Post-PH	20	hour	20 h	20	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.70924586863325
X20H6	Post-PH	20	hour	20 h	20	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.84157447969412
X28H1	Post-PH	28	hour	28 h	28	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.50410797705642
X28H2	Post-PH	28	hour	28 h	28	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.18201410705352
X28H3	Post-PH	28	hour	28 h	28	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.47256466311836
X36H1	Post-PH	36	hour	36 h	36	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.376230051314407
X36H2	Post-PH	36	hour	36 h	36	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.430518259211136
X36H3	Post-PH	36	hour	36 h	36	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.382869992618402
X36H4	Post-PH	36	hour	36 h	36	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.48385045285382
X36H5	Post-PH	36	hour	36 h	36	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.840376023480902
X36H6	Post-PH	36	hour	36 h	36	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.757558055581786
X44H1	Post-PH	44	hour	44 h	44	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.737902273723872
X44H2	Post-PH	44	hour	44 h	44	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.922274136896194
X44H3	Post-PH	44	hour	44 h	44	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.99747074970968
X48H1	Post-PH	48	hour	48 h	48	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.0285518748588
X48H2	Post-PH	48	hour	48 h	48	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.24029900604282
X48H3	Post-PH	48	hour	48 h	48	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.776027820340328
X48H4	Post-PH	48	hour	48 h	48	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.23239567093984
X48H5	Post-PH	48	hour	48 h	48	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.444601569512542
X72H1	Post-PH	72	hour	72 h	72	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.48014154959186
X72H2	Post-PH	72	hour	72 h	72	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.15007564097389
X72H3	Post-PH	72	hour	72 h	72	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.04297250367279
X1W1	Post-PH	1	week	1 wk	168	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.1227600359496
X1W2	Post-PH	1	week	1 wk	168	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.14469993701904
X1W3	Post-PH	1	week	1 wk	168	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.82649333236743
X4W1	Post-PH	4	week	4 wk	672	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.54668209438616
X4W2	Post-PH	4	week	4 wk	672	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.53301342747849
