sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
X10H3	Post-PH	10	hour	10 h	10	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.35162095694052
X10H4	Post-PH	10	hour	10 h	10	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.5168053844332
X10H5	Post-PH	10	hour	10 h	10	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.01020743765491
X10H6	Post-PH	10	hour	10 h	10	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.58399254051593
X20H1	Post-PH	20	hour	20 h	20	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
X20H2	Post-PH	20	hour	20 h	20	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.55726466712882
X20H3	Post-PH	20	hour	20 h	20	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.2588330267892
X20H4	Post-PH	20	hour	20 h	20	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.62807593668879
X20H5	Post-PH	20	hour	20 h	20	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.88523421013001
X20H6	Post-PH	20	hour	20 h	20	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.08566295927735
X28H1	Post-PH	28	hour	28 h	28	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.52294370023259
X28H2	Post-PH	28	hour	28 h	28	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.12527796534179
X28H3	Post-PH	28	hour	28 h	28	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.45785092219415
X36H1	Post-PH	36	hour	36 h	36	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.5049742639306
X36H2	Post-PH	36	hour	36 h	36	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.6994192445349
X36H3	Post-PH	36	hour	36 h	36	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.73315191599127
X36H4	Post-PH	36	hour	36 h	36	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.88390330406915
X36H5	Post-PH	36	hour	36 h	36	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.71111161329876
X36H6	Post-PH	36	hour	36 h	36	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
X44H1	Post-PH	44	hour	44 h	44	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.25571307943157
X44H2	Post-PH	44	hour	44 h	44	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.98395451525116
X44H3	Post-PH	44	hour	44 h	44	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.53283806598533
X48H1	Post-PH	48	hour	48 h	48	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.25797559199054
X48H2	Post-PH	48	hour	48 h	48	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.95360947023547
X48H3	Post-PH	48	hour	48 h	48	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.28925642963045
X48H4	Post-PH	48	hour	48 h	48	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.14845149809924
X48H5	Post-PH	48	hour	48 h	48	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.16498222508218
X72H1	Post-PH	72	hour	72 h	72	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.29946892000321
X72H2	Post-PH	72	hour	72 h	72	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.58410269871943
X72H3	Post-PH	72	hour	72 h	72	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.92028828206042
X1W1	Post-PH	1	week	1 wk	168	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.69282540269929
X1W2	Post-PH	1	week	1 wk	168	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.54827487191116
X1W3	Post-PH	1	week	1 wk	168	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.22901748179728
X4W1	Post-PH	4	week	4 wk	672	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.64386129241301
X4W2	Post-PH	4	week	4 wk	672	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
