sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
X10H4	Post-PH	10	hour	10 h	10	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.72387013451772
X10H5	Post-PH	10	hour	10 h	10	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.95496081938682
X10H6	Post-PH	10	hour	10 h	10	6	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.38448257360153
X20H1	Post-PH	20	hour	20 h	20	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.84554317732301
X20H2	Post-PH	20	hour	20 h	20	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.41713451411513
X20H3	Post-PH	20	hour	20 h	20	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.47063777159753
X20H4	Post-PH	20	hour	20 h	20	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.25587184273571
X20H5	Post-PH	20	hour	20 h	20	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.42967118671101
X20H6	Post-PH	20	hour	20 h	20	6	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.93871780901542
X28H1	Post-PH	28	hour	28 h	28	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.69963666731307
X28H2	Post-PH	28	hour	28 h	28	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.81603009122053
X28H3	Post-PH	28	hour	28 h	28	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.23350978663598
X36H1	Post-PH	36	hour	36 h	36	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.82128698975837
X36H2	Post-PH	36	hour	36 h	36	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.93444941768245
